"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Lord, Brad",695418,2025,25,"10","29.1",129,114,33,24,5,1,3,23,12,17.8,9.3,".289",".430",".367","0.797",".313",".453",".355",".370",".388",".140","70.8",17.6,13.2,10.6,31,25,"6.9",3,"89.3","12.6",39.1,5.4,44.6,"77.74502","94.721473077",21.5,50.8
"Gausman, Kevin",592332,2025,34,"8","45.1",175,160,32,20,8,0,4,40,12,22.9,6.9,".200",".325",".251","0.576",".246",".457",".253",".320",".295",".211","72.7",29.9,14.3,10.9,28.6,21.7,"7.3",5,"90.7","16.9",34.1,12.2,45.5,"80.027309355","95.105044309",24.6,51.4
"Burke, Sean",680732,2025,25,"9","43.1",191,164,39,23,8,0,8,29,22,15.2,11.5,".238",".433",".342","0.775",".283",".560",".346",".402",".381",".278","72.1",26.9,17.8,13.3,35.5,26.6,"7.2",6,"88.3","15.9",40.4,12.5,41.9,"75.622864627","94.780277143",25.5,44.5
"Walker, Taijuan",592836,2025,32,"7","31.1",135,120,26,18,5,1,2,29,13,21.5,9.6,".217",".325",".304","0.629",".242",".362",".287",".308",".327",".120","71.6",20.8,14.5,11.6,32.1,25.6,"7.3",2,"88.6","11.4",31.9,5.5,38.5,"78.048955111","93.678966222",20.9,42.7
"Gray, Sonny",543243,2025,35,"8","46.1",186,170,39,27,6,0,6,47,11,25.3,5.9,".229",".371",".283","0.654",".264",".441",".290",".329",".316",".178","72.8",29.2,14.7,11.3,32.1,24.7,"7.5",8,"88.9","16.2",36.3,9.7,39.5,"77.418518387","94.374019194",25.8,46.2
"Newcomb, Sean",656794,2025,32,"8","27.2",155,140,47,42,4,0,1,37,12,23.9,7.7,".336",".386",".392","0.778",".268",".375",".352",".313",".331",".107","71.8",23.4,12.4,10,30,24.1,"7.3",2,"91","9.9",30.8,4.8,49,"80.8962284","95.2069857",20.3,47
"Gallen, Zac",668678,2025,29,"9","51.0",218,193,44,27,10,1,6,54,23,24.8,10.6,".228",".383",".312","0.695",".229",".391",".311",".311",".314",".161","72.1",28.4,17.8,13.1,37.3,27.5,"7.5",11,"90","17.1",35,7.9,41.4,"79.611673429","94.4930465",27.9,41.9
"Warren, Will",701542,2025,26,"8","36.0",158,139,33,20,8,1,4,41,16,25.9,10.1,".237",".396",".312","0.708",".271",".435",".313",".338",".342",".164","71.3",21.6,21.1,15.2,39.8,28.6,"7.2",7,"93.3","10.2",37,11,52,"83.7952896","96.284490101",26.9,39.5
"Kikuchi, Yusei",579328,2025,34,"8","42.1",211,187,49,36,6,0,7,43,22,20.4,10.4,".262",".406",".341","0.747",".266",".469",".332",".355",".347",".203","72.2",28.3,16.1,12.6,33.6,26.3,"7.2",2,"90.4","15.9",31.7,10.3,39.3,"79.644839583","94.951470909",22.1,46.6
"Meyer, Max",676974,2025,26,"8","45.1",195,176,45,29,8,0,8,52,16,26.7,8.2,".256",".438",".323","0.761",".264",".467",".335",".354",".335",".203","73",33.8,19.3,13.3,40.1,27.6,"7.4",8,"93.1","8.6",27.2,10.4,48.8,"84.103104516","96.033892033",31.2,47.1
