"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Paddack, Chris",663978,2025,29,"8","39.2",170,148,35,26,2,0,7,30,16,17.6,9.4,".236",".392",".302","0.694",".251",".461",".305",".342",".321",".211","71.4",23.9,14,11.6,30.9,25.7,"7.2",3,"90.5","16.7",33.1,9.7,42.7,"79.8527015","94.884731583",19.7,48.6
"King, Michael",650633,2025,30,"8","44.2",201,182,34,22,7,0,5,56,16,27.9,8,".187",".308",".259","0.567",".212",".372",".257",".289",".282",".160","71.5",20.8,13.6,9.9,28.5,20.8,"7.5",7,"88.6","18.4",30.7,10.2,40.9,"76.334177143","94.507835",28.1,44.4
"Falter, Bailey",663559,2025,28,"8","43.1",173,155,36,22,8,0,6,31,13,17.9,7.5,".232",".400",".291","0.691",".243",".416",".303",".309",".301",".173","71.4",23,16.7,13.6,35.7,29.2,"7.2",4,"89.8","19.1",28.9,8.6,44.5,"79.185659524","94.358891111",19.4,45.2
"Rodón, Carlos",607074,2025,32,"9","54.2",215,193,33,20,5,0,8,67,20,31.2,9.3,".171",".321",".248","0.569",".197",".348",".256",".276",".273",".151","71.7",25.8,9.8,7.1,32.5,23.3,"7.4",10,"89.2","14.5",30.5,7,38.3,"78.689070161","94.121193468",31.7,43.9
"Vásquez, Randy",681190,2025,26,"8","38.1",173,145,36,28,4,1,3,18,25,10.4,14.5,".248",".352",".364","0.716",".278",".489",".329",".386",".393",".211","71.8",26.2,13.1,10.9,33.2,27.7,"7.3",1,"86.8","14.9",32.8,10.2,33.6,"75.132564531","93.303927344",16.1,43.3
"Nola, Aaron",605400,2025,32,"8","46.0",196,177,47,31,8,0,8,50,15,25.5,7.7,".266",".446",".333","0.779",".264",".446",".345",".339",".332",".182","72.1",19.4,13.1,9.9,32,24.1,"7.6",10,"89.3","12.2",33.6,9.4,40.6,"78.604246094","94.406163543",26.4,46.7
"Boyd, Matthew",571510,2025,34,"8","45.1",192,172,46,34,6,1,5,45,13,23.4,6.8,".267",".401",".335","0.736",".250",".372",".329",".307",".319",".122","71.2",19.3,13.9,10.4,33.2,24.8,"7.3",3,"88.2","18.4",34.1,5.4,37.2,"76.830396719","93.851016953",26,50.9
"Hicks, Jordan",663855,2025,28,"8","43.1",189,169,46,34,7,3,2,40,15,21.2,7.9,".272",".385",".344","0.729",".258",".357",".326",".308",".332",".099","71.4",22.8,15,11.8,35.7,27.9,"7.3",8,"89.2","3",28.5,4.6,44.6,"77.203355846","94.900266769",24.4,44
"Berríos, José",621244,2025,31,"8","46.2",198,174,45,29,7,1,8,45,21,22.7,10.6,".259",".448",".340","0.788",".255",".464",".346",".350",".340",".209","73",29.9,18.2,13.9,36.4,27.7,"7.5",6,"90.2","13.8",30.5,12.2,44.3,"79.097375077","95.059101705",24.7,44.1
"Peterson, David",656849,2025,29,"7","38.1",193,172,44,30,10,0,4,43,16,22.3,8.3,".256",".384",".326","0.710",".282",".418",".318",".339",".351",".136","71.6",24.9,19.1,15.3,34.9,27.9,"7.3",14,"91.6","4.7",30.5,6.1,51.9,"81.118967656","95.991559449",22.5,47.6
"Heaney, Andrew",571760,2025,34,"8","45.2",187,167,35,16,13,1,5,36,16,19.3,8.6,".210",".389",".290","0.679",".260",".432",".302",".336",".336",".171","71.7",26.9,13.9,11,34.7,27.5,"7.3",5,"89.5","8.9",32.6,9.8,38.6,"78.958932615","94.348216744",21.5,48.5
"Francis, Bowden",670102,2025,29,"8","41.2",176,160,44,27,4,1,12,30,11,17,6.3,".275",".537",".324","0.861",".311",".552",".369",".393",".361",".241","72",27.4,20.1,16,37.5,29.9,"7.4",2,"91.1","20",30.8,12,50.4,"79.782318788","95.931332955",21,46.8
"Valdez, Framber",664285,2025,31,"8","48.0",196,175,40,23,11,1,5,44,17,22.4,8.7,".229",".389",".303","0.692",".274",".422",".307",".340",".346",".148","72.6",28.2,15.8,12.1,35.5,27.2,"7.4",8,"91.2","4.8",32.3,8.3,45.1,"81.061744697","95.302714504",24.5,47.4
"Imanaga, Shota",684007,2025,31,"8","44.2",181,166,35,20,8,0,7,34,14,18.8,7.7,".211",".386",".272","0.658",".254",".495",".291",".346",".312",".241","72.5",29.7,13.7,10.4,31.8,24,"7.5",4,"90.4","21.4",39.1,10.5,39.1,"81.013574154","94.173152615",25.3,54.2
"Sears, JP",676664,2025,29,"8","45.0",181,171,38,24,9,0,5,36,7,19.9,3.9,".222",".363",".265","0.628",".233",".418",".278",".299",".275",".185","71.5",21.5,12.5,10.4,31.9,26.5,"7.3",7,"88.7","19",31.1,7.4,40,"78.172564853","93.669852222",18.6,47.2
"Mahle, Tyler",641816,2025,30,"8","42.2",189,173,31,24,4,1,2,37,16,19.6,8.5,".179",".249",".249","0.498",".244",".370",".230",".300",".308",".126","71.6",23.1,9.4,7.2,32,24.6,"7.2",2,"87.7","11.8",30.1,5.1,31.6,"77.264163824","93.129079044",22.3,49.2
"Bibee, Tanner",676440,2025,26,"8","45.0",185,166,39,21,8,1,9,31,16,16.8,8.6,".235",".458",".308","0.766",".244",".452",".335",".333",".317",".209","71.6",22.6,14.9,12.2,30.7,25.1,"7.4",4,"88.8","13.4",27.9,10.3,40.4,"77.566854559","94.232831556",19.9,44.4
"Castillo, Luis",622491,2025,32,"8","43.1",189,169,42,29,9,0,4,33,18,17.5,9.5,".249",".373",".323","0.696",".253",".414",".312",".325",".327",".161","70.9",18.3,13,10.2,31.3,24.6,"7.1",5,"90.4","12.7",29.9,10.2,43.1,"79.700301912","94.945713235",21.1,50.1
"Martinez, Nick",607259,2025,34,"8","44.2",185,172,47,22,20,1,4,37,11,20,5.9,".273",".471",".315","0.786",".267",".415",".341",".317",".311",".148","71.9",27.7,11.6,8.9,38.1,29.1,"7.5",5,"88.3","16.9",35.8,7.3,36.5,"78.560992059","93.102568",26.1,47
"Taillon, Jameson",592791,2025,33,"8","43.2",181,171,42,21,10,1,10,35,9,19.3,5,".246",".491",".283","0.774",".270",".505",".334",".346",".307",".235","71.7",24.3,16.9,13.6,33.3,26.8,"7.4",11,"88.1","18.5",33.6,12.4,39.4,"75.711856029","94.329280667",21.7,47.4
"Lorenzen, Michael",547179,2025,33,"8","45.1",193,177,43,24,11,0,8,40,14,20.7,7.3,".243",".441",".301","0.742",".249",".442",".324",".326",".308",".193","71.6",21.9,12.2,9.3,36.2,27.6,"7.4",7,"89.2","15.1",36.2,9.4,40.6,"78.750757101","94.019511752",24.9,47.8
"Crochet, Garrett",676979,2025,26,"9","56.0",225,203,39,32,4,0,3,65,21,28.9,9.3,".192",".256",".267","0.523",".230",".367",".243",".300",".303",".138","71.2",22.7,10.3,7.5,28.7,20.9,"7.3",15,"88.2","11.6",34.5,7.9,36.7,"76.536240588","94.053635735",30.2,50
"Schwellenbach, Spencer",680885,2025,25,"8","47.1",194,181,43,25,12,1,5,43,9,22.2,4.6,".238",".398",".280","0.678",".280",".428",".295",".324",".321",".148","71.4",22.5,17.6,12.9,37.1,27.3,"7.3",6,"90.3","7.9",37.1,6.4,45.7,"79.225694857","94.965496547",28.3,53.1
"Martin, Davis",663436,2025,28,"8","42.2",184,167,48,31,10,2,5,28,12,15.2,6.5,".287",".461",".342","0.803",".326",".523",".351",".390",".380",".197","72",24.4,19.3,16.2,37.8,31.7,"7.2",7,"91.4","11.2",36.9,9.9,47.5,"80.947303571","95.589935214",18.7,47.9
"Kochanowicz, Jack",686799,2025,24,"8","43.0",186,162,46,36,3,0,7,24,18,12.9,9.7,".284",".432",".360","0.792",".274",".447",".347",".352",".356",".174","71.9",26.2,15.3,12.6,37.5,30.9,"7.3",3,"91.1","9.3",22.7,9.2,46.1,"81.059126338","94.945935816",18.9,49.3
"Pallante, Andre",669467,2025,26,"8","43.1",185,169,44,29,7,1,7,28,16,15.1,8.6,".260",".438",".324","0.762",".299",".467",".336",".360",".360",".168","72.3",26.5,19.9,15.9,42.2,33.7,"7.1",9,"90.4","-1.3",27,7.8,47.5,"78.881935714","95.378856643",22.2,44.8
"Fedde, Erick",607200,2025,32,"8","46.2",193,170,40,27,10,0,3,29,21,15,10.9,".235",".347",".321","0.668",".280",".449",".303",".356",".362",".170","72.4",30.8,15,12.8,33.8,28.9,"7.3",8,"90.9","15.4",29.6,8.5,43.7,"81.306008873","94.435675141",17.2,44.5
"Cannon, Jonathan",686563,2025,24,"8","44.0",195,176,47,32,8,1,6,33,17,16.9,8.7,".267",".426",".338","0.764",".265",".434",".339",".338",".337",".169","72.3",25.9,14.4,11.7,33.2,26.9,"7.3",5,"89.1","16.5",29.4,9.8,42,"78.074931127","94.379134184",19.7,47.9
"Webb, Logan",657277,2025,28,"9","55.1",222,206,50,38,9,1,2,65,14,29.3,6.3,".243",".325",".290","0.615",".241",".344",".276",".279",".289",".103","71.6",24.1,16.5,12.5,35,26.4,"7.2",9,"88.9","4.8",37.1,5.6,39.2,"77.367564648","94.401469574",26.7,44.8
"Keller, Mitch",656605,2025,29,"8","45.0",199,180,48,35,9,1,3,35,15,17.6,7.5,".267",".378",".337","0.715",".303",".462",".321",".363",".369",".159","71.2",20.7,15.2,12.8,31.5,26.4,"7.2",8,"89","12.9",38.6,6.9,42.1,"77.890713889","94.250389167",18.2,48
"Parker, Mitchell",680730,2025,25,"8","45.1",196,166,37,27,8,1,1,26,22,13.3,11.2,".223",".301",".318","0.619",".244",".365",".285",".319",".341",".121","71.9",26.2,15.9,12.8,32.2,25.9,"7.3",7,"88.8","14.5",26.2,3.4,42.1,"77.803326479","94.195494397",20.8,50.5
"Verlander, Justin",434378,2025,42,"8","42.0",205,187,49,29,12,0,8,40,16,19.5,7.8,".262",".455",".322","0.777",".268",".483",".340",".348",".328",".215","71.6",21.7,16.6,12.3,35.8,26.5,"7.3",8,"89.2","17.8",37.8,11.5,39.2,"78.471018243","94.221388108",26.4,51.4
"Kelly, Merrill",518876,2025,36,"8","44.0",206,193,42,23,12,1,6,41,12,19.9,5.8,".218",".383",".267","0.650",".270",".477",".287",".340",".316",".207","72.5",32.7,18.5,15.2,33.6,27.6,"7.4",16,"90.1","12.4",30.9,10.5,44.7,"78.113769067","95.194808733",21.1,48.1
"Lugo, Seth",607625,2025,35,"9","56.2",222,204,47,30,8,0,9,42,15,18.9,6.8,".230",".402",".285","0.687",".282",".488",".301",".351",".333",".206","71.7",21.6,19.3,15.9,37.2,30.5,"7.3",4,"90.5","13.2",32.3,7.9,45.7,"79.921748395","94.921528519",19.6,44.9
"Severino, Luis",622663,2025,31,"9","53.2",232,208,52,34,14,0,4,40,19,17.2,8.2,".250",".375",".317","0.692",".295",".427",".308",".344",".359",".133","71.2",20.1,15.8,13,34.4,28.3,"7.1",2,"90.2","12.5",35.7,4.7,43.3,"79.1543825","94.92682869",17.5,48.3
