"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Witt Jr., Bobby",677951,2026,255,17.6,9.4,0.358,0.395,38.7,13.6,54.8,104.28195337,97.039191902,24.8,48.5
"Young, Cole",702284,2026,232,21.1,8.2,0.301,0.32,35.8,5.7,37.7,98.76842175,93.493042579,23.0,47.8
"Jung, Josh",673962,2026,221,14.9,7.2,0.376,0.365,39.4,5.9,45.9,100.301667059,94.406334353,16.8,47.8
"Trout, Mike",545361,2026,262,22.5,21.4,0.397,0.424,34.0,21.0,48.6,103.517220833,96.233431818,21.7,37.2
"Swanson, Dansby",621020,2026,223,22.9,13.0,0.286,0.303,26.8,7.8,42.3,99.400717429,94.064239281,30.0,45.1
"Perez, Salvador",521692,2026,232,19.8,4.7,0.274,0.295,33.3,8.8,40.4,100.040978256,94.17578269,26.4,57.1
"Soler, Jorge",624585,2026,227,31.7,9.3,0.306,0.31,35.4,11.5,43.1,101.664692615,94.903809462,35.6,47.4
"McGonigle, Kevin",805808,2026,250,14.0,13.2,0.358,0.36,38.3,8.9,37.2,98.607482,93.527113056,14.0,41.6
"Varsho, Daulton",662139,2026,223,19.3,9.0,0.335,0.311,38.0,6.3,39.2,98.801659494,93.450975159,20.8,52.7
"Neto, Zach",687263,2026,270,30.4,12.6,0.346,0.328,38.3,11.4,38.3,99.040280135,93.824446599,30.0,49.0
"Abreu, Wilyer",677800,2026,242,19.4,9.1,0.341,0.341,31.8,10.5,41.0,100.589274767,94.562869123,22.1,48.3
"Contreras, William",661388,2026,230,13.0,9.1,0.339,0.342,30.3,7.3,44.4,101.274064045,94.984955899,19.7,46.5
"Dubón, Mauricio",643289,2026,221,15.8,6.3,0.305,0.303,37.6,4.7,27.6,96.427719412,92.238793787,17.8,51.1
"Altuve, Jose",514888,2026,185,18.9,10.3,0.316,0.314,33.1,6.3,36.9,98.366335238,93.267306,24.7,47.2
"Soderstrom, Tyler",691016,2026,234,18.8,11.1,0.323,0.331,29.4,11.7,44.2,101.606970741,95.010278086,22.4,47.7
"Alvarez, Yordan",670541,2026,258,17.4,15.1,0.445,0.498,46.5,20.2,53.5,106.010678571,97.716902321,19.7,42.4
"Acuña Jr., Ronald",660670,2026,203,21.2,15.3,0.351,0.389,32.5,14.3,45.2,102.110478095,95.402044127,28.0,45.6
"Simpson, Chandler",802415,2026,232,10.8,5.2,0.299,0.26,27.7,0.0,16.0,93.142483978,90.614548865,10.8,46.8
"Tucker, Kyle",663656,2026,236,18.6,12.7,0.323,0.323,35.4,5.0,39.8,98.579175556,93.646939938,22.7,49.8
"Nuñez, Nasim",683083,2026,198,21.2,11.1,0.24,0.27,30.8,0.0,19.5,94.428229833,91.258294833,23.0,47.1
"Martínez, Angel",682657,2026,200,20.5,3.0,0.318,0.306,36.2,8.1,35.8,99.820958194,94.090888671,18.5,54.3
"Hernández, Teoscar",606192,2026,204,27.0,9.3,0.346,0.339,34.4,11.0,45.3,100.610986719,94.565144094,29.1,45.0
"Devers, Rafael",646240,2026,240,30.0,5.8,0.304,0.291,32.0,10.5,49.0,102.481503684,95.872788355,30.5,51.7
"Giménez, Andrés",665926,2026,201,17.9,3.0,0.272,0.253,26.5,3.9,23.2,95.124216447,91.576757895,23.9,57.2
"Herrera, Iván",671056,2026,254,17.3,13.0,0.362,0.364,30.1,7.3,42.2,100.912886098,94.743318957,20.7,42.7
"Ward, Taylor",621493,2026,265,20.0,20.0,0.352,0.353,37.3,4.4,38.6,98.914197342,93.646166899,18.2,30.3
"Burleson, Alec",676475,2026,239,15.9,8.8,0.345,0.378,33.7,10.2,47.2,101.573339659,95.292767614,21.8,49.9
"Raleigh, Cal",663728,2026,181,31.5,9.9,0.253,0.289,32.1,12.3,31.1,98.783037736,93.452052547,30.5,53.1
"Suzuki, Seiya",673548,2026,192,25.5,10.4,0.328,0.318,36.7,7.5,41.7,100.636563167,94.453390833,26.2,41.3
"Steer, Spencer",668715,2026,219,20.5,8.7,0.339,0.371,41.4,13.7,38.8,99.600169863,94.19711911,24.0,45.0
"Goodman, Hunter",696100,2026,220,34.5,6.8,0.345,0.301,33.6,13.7,45.6,102.798124355,95.782968145,33.5,55.2
"Bichette, Bo",666182,2026,254,16.5,7.1,0.266,0.331,32.5,7.2,45.4,101.52479701,95.263214175,16.4,52.9
"Johnston, Troy",687859,2026,197,21.3,7.6,0.352,0.324,44.2,2.2,37.7,98.275571471,93.286071185,24.2,49.4
"Naylor, Josh",647304,2026,239,13.4,8.4,0.298,0.338,33.3,5.9,38.2,98.939698925,93.623957243,20.1,53.8
"Ohtani, Shohei",660271,2026,250,22.8,15.6,0.388,0.407,40.5,16.3,51.4,102.882026757,96.399268707,28.5,43.8
"Harper, Bryce",547180,2026,241,18.7,13.7,0.377,0.412,37.4,14.1,42.3,101.497112195,94.874213988,28.9,52.4
"Henderson, Gunnar",683002,2026,266,26.7,6.4,0.304,0.307,31.3,9.7,44.3,100.45385875,94.589147273,25.3,49.3
"Tatis Jr., Fernando",665487,2026,241,22.0,10.0,0.305,0.35,33.3,9.9,51.9,103.863147284,96.422070311,29.8,48.2
"García, Adolis",666969,2026,223,30.5,9.0,0.265,0.291,37.4,6.9,48.1,101.364086818,95.356368779,33.5,44.1
"De La Cruz, Elly",682829,2026,254,29.9,8.3,0.367,0.356,36.1,14.6,52.9,105.118762667,97.552664133,29.2,41.4
"Marte, Ketel",606466,2026,237,15.2,7.6,0.342,0.378,33.3,10.9,44.8,103.13866,95.789813425,21.6,48.8
"Adell, Jo",666176,2026,245,23.7,2.9,0.298,0.335,32.0,8.8,47.1,102.72476093,95.840439532,26.5,55.4
"Torkelson, Spencer",679529,2026,223,32.3,12.1,0.319,0.322,46.3,14.2,46.3,100.710518667,94.89645125,29.4,41.5
"Benge, Carson",701807,2026,212,20.8,7.1,0.3,0.329,40.7,8.0,44.0,100.681380133,94.773593,21.0,44.9
"Chapman, Matt",656305,2026,239,22.6,9.6,0.29,0.263,21.9,4.4,32.5,99.306741139,93.670355759,23.7,43.4
"Bauers, Jake",641343,2026,190,22.6,8.9,0.362,0.347,28.9,11.8,52.3,102.995214688,96.53457378,25.2,42.9
"Mullins, Cedric",656775,2026,191,16.8,7.3,0.249,0.244,28.4,1.4,28.8,97.155203231,92.793133462,19.2,48.8
"Baldwin, Drake",686948,2026,216,20.4,11.1,0.405,0.418,42.1,18.6,53.8,103.678356164,96.840637655,23.1,50.4
"Bellinger, Cody",641355,2026,246,13.0,15.0,0.373,0.376,40.7,8.0,39.0,98.814027727,93.762590057,16.8,42.9
"Bogaerts, Xander",593428,2026,221,17.2,9.0,0.306,0.327,29.4,6.8,36.2,99.225592222,93.75528179,22.0,44.3
"Pages, Andy",681624,2026,237,19.0,6.3,0.379,0.36,37.7,10.3,48.0,101.458125341,95.176828571,22.8,50.3
"Winn, Masyn",691026,2026,211,20.9,8.5,0.287,0.298,31.9,2.8,29.9,97.273918028,92.677931986,23.6,42.0
"Rodríguez, Julio",677594,2026,258,20.5,7.0,0.35,0.341,31.4,9.2,43.2,102.845728065,95.740840216,27.3,53.6
"Okamoto, Kazuma",672960,2026,234,32.1,9.4,0.32,0.328,32.1,14.9,53.0,103.705155522,96.677094776,33.0,45.2
"Chisholm Jr., Jazz",665862,2026,229,27.5,9.6,0.313,0.287,29.4,6.3,37.1,99.326196957,93.864953478,30.9,43.8
"Clement, Ernie",676391,2026,232,8.2,3.4,0.334,0.281,30.7,2.9,25.9,95.472215941,91.737624851,14.6,56.6
"Horwitz, Spencer",687462,2026,203,11.8,14.3,0.382,0.339,29.1,6.1,33.8,97.400660541,92.760048986,13.7,40.7
"Adames, Willy",642715,2026,243,28.0,4.5,0.298,0.282,36.8,8.6,42.9,99.554152317,94.006324969,26.7,48.8
"Benintendi, Andrew",643217,2026,181,28.2,6.6,0.294,0.311,39.8,10.3,47.5,99.153336034,94.003793652,29.9,52.9
"Vargas, Ildemaro",545121,2026,207,10.1,3.4,0.344,0.316,30.5,4.0,32.8,97.936456552,92.980570805,15.1,50.9
"Schwarber, Kyle",656941,2026,246,33.7,13.0,0.408,0.386,37.0,23.6,50.4,103.756602813,96.490773071,33.3,43.0
"Young, Jacob",696285,2026,197,16.8,5.1,0.302,0.318,36.7,6.0,36.7,98.985484658,93.637034589,19.9,43.5
"Lopez, Otto",672640,2026,243,16.0,3.7,0.359,0.333,29.7,7.9,44.8,101.290238526,95.084711842,20.6,48.1
"Ramírez, José",608070,2026,262,13.4,14.9,0.326,0.371,36.9,7.5,42.5,100.202424946,94.387250484,16.1,46.4
"Vargas, Miguel",678246,2026,248,17.3,15.3,0.373,0.389,39.5,14.8,45.7,101.014541605,94.929406173,20.0,43.7
"Marsee, Jakob",805300,2026,244,23.4,12.7,0.293,0.297,30.0,4.0,37.3,98.191632877,93.182774207,19.5,39.8
"Meidroth, Chase",805367,2026,239,21.8,10.0,0.328,0.302,32.7,6.3,37.7,97.655686026,93.040289231,18.2,40.2
