"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Fried, Max",608331,2026,240,20.8,7.9,0.243,0.253,26.6,1.8,30.8,74.389795904,92.929946807,23.2,44.7
"Ashcraft, Braxton",677952,2026,275,25.5,6.2,0.281,0.274,28.4,5.5,37.2,79.344714222,94.108816722,27.0,50.9
"Messick, Parker",800048,2026,272,27.2,7.7,0.272,0.286,35.2,5.1,34.1,76.160592907,93.488799244,27.8,48.8
"Valdez, Framber",664285,2026,295,18.3,8.5,0.311,0.329,30.8,7.2,43.6,79.703236635,94.752132452,21.6,47.6
"Luzardo, Jesús",666200,2026,285,27.4,6.7,0.317,0.283,37.0,6.0,27.2,74.494403556,92.330269333,31.4,46.7
"Severino, Luis",622663,2026,271,24.0,11.4,0.349,0.318,34.1,8.7,38.7,78.384796047,93.696996959,23.0,47.6
"Woo, Bryan",693433,2026,279,24.4,5.0,0.253,0.272,33.3,6.7,43.6,78.039798351,94.469672371,24.4,54.2
"Detmers, Reid",672282,2026,288,28.5,7.6,0.292,0.272,29.6,7.3,36.9,79.337737191,94.016266723,29.4,49.1
"Burns, Chase",695505,2026,249,28.9,8.0,0.261,0.271,26.3,8.7,37.8,77.800707027,94.133467211,33.9,48.9
"Bibee, Tanner",676440,2026,266,20.7,7.9,0.335,0.33,34.9,10.1,46.0,80.470407872,94.845823191,27.2,46.5
"Skenes, Paul",694973,2026,255,29.4,4.7,0.245,0.241,31.3,4.3,32.5,75.678895432,93.157897888,26.2,51.3
"Alcantara, Sandy",645261,2026,323,16.1,6.5,0.331,0.309,29.4,6.6,37.1,77.832091917,93.766515708,21.8,50.9
"Junk, Janson",676083,2026,255,16.9,5.1,0.329,0.31,28.9,6.6,41.6,79.102345833,94.722669372,18.0,49.5
"McGreevy, Michael",700241,2026,239,18.0,6.3,0.291,0.368,35.4,11.1,41.4,77.192111236,94.881151573,20.6,44.9
"Taillon, Jameson",592791,2026,254,20.1,7.9,0.362,0.357,35.9,14.9,38.1,75.913924,94.197885611,25.7,46.1
"Burke, Sean",680732,2026,249,21.7,6.4,0.303,0.308,35.1,6.3,36.8,78.886887326,93.630880468,19.5,48.0
"Vásquez, Randy",681190,2026,249,18.9,6.8,0.324,0.383,38.5,13.2,45.6,80.139117444,95.101872,22.6,49.4
"Ryan, Joe",657746,2026,255,27.5,5.5,0.253,0.269,30.1,9.6,41.0,79.167454578,94.383850121,25.9,50.6
"Williams, Gavin",668909,2026,303,29.0,7.9,0.291,0.319,33.9,12.6,48.6,80.623063736,95.82443511,30.7,49.3
